UC ID/ Serial No.,PROVINCE ,DIVISION,DISTRICT ,TEHSIL,TEHSIL - CODE,UC NAME,UR_UR,UC Number,UC CODE,LATITUDE,LONGITUDE,NUMBER OF VILLAGES,V.NUMEBR,V.CODE,VILLAGE NAME
4167,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,BIRPANI,RURAL,1,861111,34.0486819,73.7554778,11,11,86111111,UPPER DHAL QAZIYAN
4168,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,BIRPANI,RURAL,1,861111,34.0486819,73.7554778,11,10,86111110,SURROL
4169,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,BIRPANI,RURAL,1,861111,34.0486819,73.7554778,11,9,8611119,MARANNA
4170,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,BIRPANI,RURAL,1,861111,34.0486819,73.7554778,11,8,8611118,LAMBI KASSI
4171,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,BIRPANI,RURAL,1,861111,34.0486819,73.7554778,11,7,8611117,JABBAR
4172,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,BIRPANI,RURAL,1,861111,34.0486819,73.7554778,11,6,8611116,DARRA
4173,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,BIRPANI,RURAL,1,861111,34.0486819,73.7554778,11,5,8611115,BISOOTI
4174,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,BIRPANI,RURAL,1,861111,34.0486819,73.7554778,11,4,8611114,BIRPANI
4175,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,BIRPANI,RURAL,1,861111,34.0486819,73.7554778,11,3,8611113,BANJH BIRPANI
4176,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,BIRPANI,RURAL,1,861111,34.0486819,73.7554778,11,2,8611112,BANI MINHASAN
4177,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,BIRPANI,RURAL,1,861111,34.0486819,73.7554778,11,1,8611111,BANI MAHLDARA
4178,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,CHATTAR NO 2,RURAL,2,861112,33.9436127,73.8337685,17,17,86111217,THOULANGHER
4179,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,CHATTAR NO 2,RURAL,2,861112,33.9436127,73.8337685,17,16,86111216,SHERPUR
4180,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,CHATTAR NO 2,RURAL,2,861112,33.9436127,73.8337685,17,15,86111215,PADDAR
4181,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,CHATTAR NO 2,RURAL,2,861112,33.9436127,73.8337685,17,14,86111214,NANGAL
4182,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,CHATTAR NO 2,RURAL,2,861112,33.9436127,73.8337685,17,13,86111213,NAKKAR
4183,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,CHATTAR NO 2,RURAL,2,861112,33.9436127,73.8337685,17,12,86111212,MUHAJAR CAMP
4184,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,CHATTAR NO 2,RURAL,2,861112,33.9436127,73.8337685,17,11,86111211,MANJOOT
4185,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,CHATTAR NO 2,RURAL,2,861112,33.9436127,73.8337685,17,10,86111210,LOWER KOT
4186,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,CHATTAR NO 2,RURAL,2,861112,33.9436127,73.8337685,17,9,8611129,LOWER GEHLLAN
4187,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,CHATTAR NO 2,RURAL,2,861112,33.9436127,73.8337685,17,8,8611128,LEERAN
4188,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,CHATTAR NO 2,RURAL,2,861112,33.9436127,73.8337685,17,7,8611127,KOT
4189,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,CHATTAR NO 2,RURAL,2,861112,33.9436127,73.8337685,17,6,8611126,GEHLAN
4190,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,CHATTAR NO 2,RURAL,2,861112,33.9436127,73.8337685,17,5,8611125,DONGERI
4191,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,CHATTAR NO 2,RURAL,2,861112,33.9436127,73.8337685,17,4,8611124,DHAK
4192,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,CHATTAR NO 2,RURAL,2,861112,33.9436127,73.8337685,17,3,8611123,CHINAR COLONY
4193,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,CHATTAR NO 2,RURAL,2,861112,33.9436127,73.8337685,17,2,8611122,CHATTAR KHAS
4194,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,CHATTAR NO 2,RURAL,2,861112,33.9436127,73.8337685,17,1,8611121,CHANNA
4195,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,CHOWKI AYUBABAD,RURAL,3,861113,33.996245,73.81247,7,7,8611137,THALA
4196,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,CHOWKI AYUBABAD,RURAL,3,861113,33.996245,73.81247,7,6,8611136,SOOFAY KOOLAN
4197,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,CHOWKI AYUBABAD,RURAL,3,861113,33.996245,73.81247,7,5,8611135,SAVER KALO UPPER
4198,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,CHOWKI AYUBABAD,RURAL,3,861113,33.996245,73.81247,7,4,8611134,NOOR GALA
4199,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,CHOWKI AYUBABAD,RURAL,3,861113,33.996245,73.81247,7,3,8611133,KHAWAS
4200,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,CHOWKI AYUBABAD,RURAL,3,861113,33.996245,73.81247,7,2,8611132,DUDHIYA
4201,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,CHOWKI AYUBABAD,RURAL,3,861113,33.996245,73.81247,7,1,8611131,CHOWKI KHAAS
4202,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,DHARE SAHLIAN,RURAL,4,861114,33.9495181,73.8135256,28,28,86111428,TUUP
4203,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,DHARE SAHLIAN,RURAL,4,861114,33.9495181,73.8135256,28,27,86111427,TOOPA
4204,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,DHARE SAHLIAN,RURAL,4,861114,33.9495181,73.8135256,28,26,86111426,SHAHEEDABAD
4205,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,DHARE SAHLIAN,RURAL,4,861114,33.9495181,73.8135256,28,25,86111425,SAIR
4206,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,DHARE SAHLIAN,RURAL,4,861114,33.9495181,73.8135256,28,24,86111424,SAHLIAN
4207,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,DHARE SAHLIAN,RURAL,4,861114,33.9495181,73.8135256,28,23,86111423,RICH NI KOT
4208,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,DHARE SAHLIAN,RURAL,4,861114,33.9495181,73.8135256,28,22,86111422,RATI DHERIAN
4209,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,DHARE SAHLIAN,RURAL,4,861114,33.9495181,73.8135256,28,21,86111421,PEEHREEN
4210,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,DHARE SAHLIAN,RURAL,4,861114,33.9495181,73.8135256,28,20,86111420,PAAN DHARE
4211,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,DHARE SAHLIAN,RURAL,4,861114,33.9495181,73.8135256,28,19,86111419,NAGAN SAHLIAN
4212,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,DHARE SAHLIAN,RURAL,4,861114,33.9495181,73.8135256,28,18,86111418,MONG SAHLIAN
4213,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,DHARE SAHLIAN,RURAL,4,861114,33.9495181,73.8135256,28,17,86111417,MANJEERI
4214,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,DHARE SAHLIAN,RURAL,4,861114,33.9495181,73.8135256,28,16,86111416,MAIDAN
4215,AZAD JAMMU AND KASHMIR,POONCH DIVISION,BAGH,BAGH,8611,DHARE SAHLIAN,RURAL,4,861114,33.9495181,73.8135256,28,15,86111415,LOHRAAN
