S.No,PROVINCE ,DIVISION,DISTRICT ,TEHSIL ,TEHSIL - CODE,UC  CODE,UC NO,UC NAME,LATITUDE,LONGITUDE,UC_UR,LOCALITIES_NO,VILLAGE NO,VILLAGE CODE,VILLAGES
6370,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511112,2,MALAR,26.323594,64.8767099,Rural,40,40,51111240,WARD NO 8;JOI KARIM DAD
6371,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511112,2,MALAR,26.323594,64.8767099,Rural,40,39,51111239,WARD NO 8:JOI ANAR TARKI
6372,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511112,2,MALAR,26.323594,64.8767099,Rural,40,38,51111238,WARD NO 8 TEERKASHI
6373,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511112,2,MALAR,26.323594,64.8767099,Rural,40,37,51111237,WARD NO 8 NOKIN NALI
6374,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511112,2,MALAR,26.323594,64.8767099,Rural,40,36,51111236,WARD NO 8 NALI
6376,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511112,2,MALAR,26.323594,64.8767099,Rural,40,35,51111235,WARD NO 8 KUMBI SHARKI
6377,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511112,2,MALAR,26.323594,64.8767099,Rural,40,34,51111234,WARD NO 8 KUMBI GHARBI
6378,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511112,2,MALAR,26.323594,64.8767099,Rural,40,33,51111233,WARD NO 8 KUHE MANGEE GUNIKKI
6379,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511112,2,MALAR,26.323594,64.8767099,Rural,40,32,51111232,WARD NO 8 JOE KUMBI
6380,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511112,2,MALAR,26.323594,64.8767099,Rural,40,31,51111231,WARD NO 8 JOE JANG JAHI
6381,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511112,2,MALAR,26.323594,64.8767099,Rural,40,30,51111230,WARD NO 8 JOE BEDLIK
6382,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511112,2,MALAR,26.323594,64.8767099,Rural,40,29,51111229,WARD NO 8 JOE BAHNI
6383,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,AWARAN SUB-DIVISION,5111,511112,2,MALAR,26.323594,64.8767099,Rural,40,28,51111228,WARD NO 8 HORDSHI
