S.No,PROVINCE,DIVISION,DISTRICT,TEHSIL,TEHSIL - CODE,UC,UC_UR,UC NO,UC CODE,LATITUDE,LONGITUDE,LOCALITIES_NO,V.NO,VILLAGE CODE,Villages
21500,GILGIT-BALTISTAN,BALTISTAN DIVISION,SKARDU,GAMBA,7214,CHUNDA,RURAL,1,721411,35.32706920,75.50156760,10,10,72141110,TINJUS
21501,GILGIT-BALTISTAN,BALTISTAN DIVISION,SKARDU,GAMBA,7214,CHUNDA,RURAL,1,721411,35.32706920,75.50156760,10,9,7214119,TANDAL
21502,GILGIT-BALTISTAN,BALTISTAN DIVISION,SKARDU,GAMBA,7214,CHUNDA,RURAL,1,721411,35.32706920,75.50156760,10,8,7214118,SHONGS TANDAL
21503,GILGIT-BALTISTAN,BALTISTAN DIVISION,SKARDU,GAMBA,7214,CHUNDA,RURAL,1,721411,35.32706920,75.50156760,10,7,7214117,KHORPANGPA
21504,GILGIT-BALTISTAN,BALTISTAN DIVISION,SKARDU,GAMBA,7214,CHUNDA,RURAL,1,721411,35.32706920,75.50156760,10,6,7214116,KHARBO
21505,GILGIT-BALTISTAN,BALTISTAN DIVISION,SKARDU,GAMBA,7214,CHUNDA,RURAL,1,721411,35.32706920,75.50156760,10,5,7214115,KARALDU
21506,GILGIT-BALTISTAN,BALTISTAN DIVISION,SKARDU,GAMBA,7214,CHUNDA,RURAL,1,721411,35.32706920,75.50156760,10,4,7214114,HOTTO RANGA
21507,GILGIT-BALTISTAN,BALTISTAN DIVISION,SKARDU,GAMBA,7214,CHUNDA,RURAL,1,721411,35.32706920,75.50156760,10,3,7214113,HOTTO
21508,GILGIT-BALTISTAN,BALTISTAN DIVISION,SKARDU,GAMBA,7214,CHUNDA,RURAL,1,721411,35.32706920,75.50156760,10,2,7214112,CHUNDA PAIN
21509,GILGIT-BALTISTAN,BALTISTAN DIVISION,SKARDU,GAMBA,7214,CHUNDA,RURAL,1,721411,35.32706920,75.50156760,10,1,7214111,CHUNDA BALA
21526,GILGIT-BALTISTAN,BALTISTAN DIVISION,SKARDU,GAMBA,7214,KAWARDO,RURAL,3,721413,35.37027900,75.59457600,19,19,72141319,ZGANG
21527,GILGIT-BALTISTAN,BALTISTAN DIVISION,SKARDU,GAMBA,7214,KAWARDO,RURAL,3,721413,35.37027900,75.59457600,19,18,72141318,STRANGLUNGMA
21528,GILGIT-BALTISTAN,BALTISTAN DIVISION,SKARDU,GAMBA,7214,KAWARDO,RURAL,3,721413,35.37027900,75.59457600,19,17,72141317,SIKANDER ABAD
21529,GILGIT-BALTISTAN,BALTISTAN DIVISION,SKARDU,GAMBA,7214,KAWARDO,RURAL,3,721413,35.37027900,75.59457600,19,16,72141316,SHUT
21530,GILGIT-BALTISTAN,BALTISTAN DIVISION,SKARDU,GAMBA,7214,KAWARDO,RURAL,3,721413,35.37027900,75.59457600,19,15,72141315,SARBAR
21531,GILGIT-BALTISTAN,BALTISTAN DIVISION,SKARDU,GAMBA,7214,KAWARDO,RURAL,3,721413,35.37027900,75.59457600,19,14,72141314,ORO
21532,GILGIT-BALTISTAN,BALTISTAN DIVISION,SKARDU,GAMBA,7214,KAWARDO,RURAL,3,721413,35.37027900,75.59457600,19,13,72141313,NAZIMABAD
21533,GILGIT-BALTISTAN,BALTISTAN DIVISION,SKARDU,GAMBA,7214,KAWARDO,RURAL,3,721413,35.37027900,75.59457600,19,12,72141312,MUNTAZIR ABAD
21534,GILGIT-BALTISTAN,BALTISTAN DIVISION,SKARDU,GAMBA,7214,KAWARDO,RURAL,3,721413,35.37027900,75.59457600,19,11,72141311,MAQPONABAD
21535,GILGIT-BALTISTAN,BALTISTAN DIVISION,SKARDU,GAMBA,7214,KAWARDO,RURAL,3,721413,35.37027900,75.59457600,19,10,72141310,LUNGMA
