PROVINCE,DIVISION,DISTRICT,TEHSIL,TEHSIL CODE,UC,UC OFFICIAL,UC_UR,UC NUMBER,UC_Code,LATITUDE,LONGITUDE,NUMBER OF VILLAGES,V.NO,V.CODE,VILLAGE NAME
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,Barakaho,Barakaho,2,1,611121,33.70930150,73.15470040,1,1,6111211,Barakaho
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,kuri,kuri,2,2,611122,33.67805660,73.18268810,7,7,6111227,KURI (CHAPRA/BLIGHA KURI)
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,kuri,kuri,2,2,611122,33.67805660,73.18268810,7,6,6111226,NEW MAL
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,kuri,kuri,2,2,611122,33.67805660,73.18268810,7,5,6111225,JAGIOT
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,kuri,kuri,2,2,611122,33.67805660,73.18268810,7,4,6111224,NAUGHAZI
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,kuri,kuri,2,2,611122,33.67805660,73.18268810,7,3,6111223,RIHARA
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,kuri,kuri,2,2,611122,33.67805660,73.18268810,7,2,6111222,CHAKSHAZAD
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,kuri,kuri,2,2,611122,33.67805660,73.18268810,7,1,6111221,MALOT
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,Lakhwal Bani gala,Lakhwal Bani gala,2,3,611123,33.70930150,73.15470040,3,3,6111233,LAKHWAL
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,Lakhwal Bani gala,Lakhwal Bani gala,2,3,611123,33.70930150,73.15470040,3,2,6111232,BANI GALA SOUTH
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,Lakhwal Bani gala,Lakhwal Bani gala,2,3,611123,33.70930150,73.15470040,3,1,6111231,BANI GALA NORTH
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,MUGHAL,MUGHAL,2,4,611124,33.57758019,73.22128225,1,1,6111241,MUGHAL
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC N0. 72 Jhangi Syeedan,UC N0. 72 Jhangi Syeedan,2,5,611125,33.61802281,72.93954141,1,1,6111251,UC N0. 72 Jhangi Syeedan
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC N0. 73 Badhana Kallan,UC N0. 73 Badhana Kallan,2,6,611126,33.61825491,72.90305325,1,1,6111261,UC N0. 73 Badhana Kallan
