S.no,PROVINCE,DISTRICT,TEHSIL,TEHSIL - CODE,UC NAME,UC_UR,UC Number,UC CODE,LATITUDE,LONGITUDE,NUMBER OF VILLAGES,VILLAGE NUMBER,VILLAGE CODE,VILLAGE NAME
9001,KHYBER PAKHTUNKHWA,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,1533,MIAN KALY,Rural,5,153315,34.822506,71.676842,25,7,1533157,CHUPRAQA
9002,KHYBER PAKHTUNKHWA,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,1533,MIAN KALY,Rural,5,153315,34.822506,71.676842,25,6,1533156,CHIRGO KALY
9003,KHYBER PAKHTUNKHWA,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,1533,MIAN KALY,Rural,5,153315,34.822506,71.676842,25,5,1533155,CHAMYR KAS
9004,KHYBER PAKHTUNKHWA,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,1533,MIAN KALY,Rural,5,153315,34.822506,71.676842,25,4,1533154,CHAMYAAR KAS
9005,KHYBER PAKHTUNKHWA,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,1533,MIAN KALY,Rural,5,153315,34.822506,71.676842,25,3,1533153,BADALZO
9006,KHYBER PAKHTUNKHWA,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,1533,MIAN KALY,Rural,5,153315,34.822506,71.676842,25,2,1533152,ANANGORI
9007,KHYBER PAKHTUNKHWA,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,1533,MIAN KALY,Rural,5,153315,34.822506,71.676842,25,1,1533151,AMIN ABAD
9008,KHYBER PAKHTUNKHWA,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,1533,MUNDA,Rural,6,153316,34.823231,71.683895,25,25,15331625,ZARA BANDA
9009,KHYBER PAKHTUNKHWA,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,1533,MUNDA,Rural,6,153316,34.823231,71.683895,25,24,15331624,TAKORO BANDA
9010,KHYBER PAKHTUNKHWA,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,1533,MUNDA,Rural,6,153316,34.823231,71.683895,25,23,15331623,SORI PAWO
9011,KHYBER PAKHTUNKHWA,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,1533,MUNDA,Rural,6,153316,34.823231,71.683895,25,22,15331622,ROSTAM BANDA
9012,KHYBER PAKHTUNKHWA,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,1533,MUNDA,Rural,6,153316,34.823231,71.683895,25,21,15331621,RASOOL PATAY
9013,KHYBER PAKHTUNKHWA,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,1533,MUNDA,Rural,6,153316,34.823231,71.683895,25,20,15331620,RASOOL BANDA
9014,KHYBER PAKHTUNKHWA,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,1533,MUNDA,Rural,6,153316,34.823231,71.683895,25,19,15331619,MUSA PATY
9015,KHYBER PAKHTUNKHWA,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,1533,MUNDA,Rural,6,153316,34.823231,71.683895,25,18,15331618,MULYANO BANDA
9016,KHYBER PAKHTUNKHWA,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,1533,MUNDA,Rural,6,153316,34.823231,71.683895,25,17,15331617,MINZ KALAY
9017,KHYBER PAKHTUNKHWA,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,1533,MUNDA,Rural,6,153316,34.823231,71.683895,25,16,15331616,LOWAI SHAH
9018,KHYBER PAKHTUNKHWA,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,1533,MUNDA,Rural,6,153316,34.823231,71.683895,25,15,15331615,KORAI
9019,KHYBER PAKHTUNKHWA,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,1533,MUNDA,Rural,6,153316,34.823231,71.683895,25,14,15331614,KHESTA DHERAI
9020,KHYBER PAKHTUNKHWA,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,1533,MUNDA,Rural,6,153316,34.823231,71.683895,25,13,15331613,KARONA
9021,KHYBER PAKHTUNKHWA,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,1533,MUNDA,Rural,6,153316,34.823231,71.683895,25,12,15331612,KARIN KALAY
9022,KHYBER PAKHTUNKHWA,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,1533,MUNDA,Rural,6,153316,34.823231,71.683895,25,11,15331611,KANDAL
9023,KHYBER PAKHTUNKHWA,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,1533,MUNDA,Rural,6,153316,34.823231,71.683895,25,10,15331610,KAGAWAGA
9024,KHYBER PAKHTUNKHWA,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,1533,MUNDA,Rural,6,153316,34.823231,71.683895,25,9,1533169,GODARO SHAI
9025,KHYBER PAKHTUNKHWA,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,1533,MUNDA,Rural,6,153316,34.823231,71.683895,25,8,1533168,GIDARO
9026,KHYBER PAKHTUNKHWA,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,1533,MUNDA,Rural,6,153316,34.823231,71.683895,25,7,1533167,DHERAI BALA
9027,KHYBER PAKHTUNKHWA,LOWER DIR DISTRICT,SAMARBAGH SUB-DIVISION,1533,MUNDA,Rural,6,153316,34.823231,71.683895,25,6,1533166,DHAL
