PROVINCE,DISTRICT,TEHSIL,TEHSILCODE,UCNAME,UC_UR,UCNumber,UCCODE,LATITUDE,LONGITUDE,NUMBEROFVILLAGES,VILLAGENUMBER,VILLAGECODE,VILLAGENAME
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,ABBOTTABAD  CANTONMENT,Urban,1,131121,34.1601199,73.220304,1,1,1311211,ABBOTTABAD  CANTONMENT
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,18,13111218,SERIAN
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,17,13111217,NAROTA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,16,13111216,MUSLIM ABAD
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,15,13111215,LAMBA BAGLA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,14,13111214,KUTLI BAGH
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,13,13111213,KOHALIAN
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,12,13111212,KHAKWALA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,11,13111211,KEHAL
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,10,13111210,KATHIALA BAGH
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,9,1311129,KARATI BAGH
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,8,1311128,JUMMA BAGLA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,7,1311127,JATT MAIRA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,6,1311126,JAGGIAN KOHALIAN
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,5,1311125,DHERI KEHAL
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,4,1311124,DHERI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,3,1311123,BOKERAY
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,2,1311122,BAGH
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGH,Rural,2,131112,34.094839,73.302232,18,1,1311121,BAGAR MAL
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,12,13111312,TRAIDA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,11,13111311,SAIRI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,10,13111310,RAJPUT CHAMB
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,9,1311139,PALAKKIAN
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,8,1311138,MAIRA BANDI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,7,1311137,MAIRA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,6,1311136,GEYAH
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,5,1311135,GALI BAGLA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,4,1311134,CHATTAR NATH THATHI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,3,1311133,CHAHAN
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,2,1311132,BANDI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BAGNOTAR,Rural,3,131113,34.125267,73.338475,12,1,1311131,BAGNOTAR
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BALDHERI,Rural,4,131114,34.2517497,73.23136116,11,11,13111411,TANNAN
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BALDHERI,Rural,4,131114,34.2517497,73.23136116,11,10,13111410,SIAN DA KATHA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BALDHERI,Rural,4,131114,34.2517497,73.23136116,11,9,1311149,SAJIKOT
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BALDHERI,Rural,4,131114,34.2517497,73.23136116,11,8,1311148,MOR KALAN
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BALDHERI,Rural,4,131114,34.2517497,73.23136116,11,7,1311147,MAST MAIRA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BALDHERI,Rural,4,131114,34.2517497,73.23136116,11,6,1311146,HALMAIRA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BALDHERI,Rural,4,131114,34.2517497,73.23136116,11,5,1311145,HALL MAIRA ZARIN
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BALDHERI,Rural,4,131114,34.2517497,73.23136116,11,4,1311144,GOJJARI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BALDHERI,Rural,4,131114,34.2517497,73.23136116,11,3,1311143,CHITTA MAIRA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BALDHERI,Rural,4,131114,34.2517497,73.23136116,11,2,1311142,CHABRIAN
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BALDHERI,Rural,4,131114,34.2517497,73.23136116,11,1,1311141,BALDHERI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,36,13111536,TARNAWAI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,35,13111535,TARHERRI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,34,13111534,TARHANA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,33,13111533,SOYAGALI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,32,13111532,SHAMSHIR NAKKA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,31,13111531,SAMAISAR
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,30,13111530,RIAN  DA MAIRA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,29,13111529,RIALA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,28,13111528,RANJHEN
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,27,13111527,PAGA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,26,13111526,NIKKA PANI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,25,13111525,MURDY PATTIAN
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,24,13111524,MANU DI BAN
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,23,13111523,MANNAH
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,22,13111522,MANGAL
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,21,13111521,MANDROCH
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,20,13111520,MAIRA PHAGAL
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,19,13111519,MAIRA BATANG
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,18,13111518,MAIRA BAN
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,17,13111517,LOON PATTIAN
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,16,13111516,LODHINA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,15,13111515,LARA GORA
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,14,13111514,KHORI DE NALI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,13,13111513,KALU BANDI
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,12,13111512,KALOOR
KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BANDA PIR KHAN,Rural,5,131115,34.26326057,73.25616595,36,11,13111511,KALIDHAR
